Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly)
 01/21  00:00:00,751620233.3294413,10473979.813694209,0.0,687821469.1769247,0.0,0.0,19048310.31629856,18976310.31629856,16269890087.121908,5708394456.714531,5856.828793964386,2.157373903155567,12.162912771221606,10.393132670009843,0.136665575743532,30.4587640928066,0.0,0.3034265247146549,0.0,0.0,0.18068908951979698,0.00009237954198597572,0.0004531934346395267,7011.600244429663,0.0,0.0,1684.4841443202913
 01/21  01:00:00,602270142.4646286,8379183.850955367,0.0,540566174.274851,0.0,0.0,17323373.0987167,13352156.159883829
 01/21  02:00:00,756447929.8103333,10473979.813694209,0.0,692649165.6578168,0.0,0.0,19786419.840618912,19714419.840618912
 01/21  03:00:00,605802770.1392807,8379183.850955367,0.0,544098801.949503,0.0,0.0,17778295.91812189,13807142.66831788
 01/21  04:00:00,760279599.4516678,10473979.813694209,0.0,696480835.2991514,0.0,0.0,20233704.99777217,20161704.99777217
 01/21  05:00:00,608605493.3482236,8379183.850955367,0.0,546901525.1584458,0.0,0.0,18061122.69742005,14089749.474378146
 01/21  06:00:00,803384001.6963782,12568775.77643305,0.0,737490441.5811228,0.0,0.0,4146252.7417980405,4074252.7417980405
 01/21  07:00:00,710733198.4354789,12568775.77643305,0.0,670756341.6169269,0.0,18495296.7032967,506406970.6462478,502434959.66466737
 01/21  08:00:00,687731864.1399747,12568775.77643305,0.0,658949319.4093348,0.0,16183384.61538461,503652008.45375395,499679292.3931659
 01/21  09:00:00,683507135.6806636,12568775.77643305,0.0,646632898.6423314,0.0,24275076.923076916,506105105.4115635,498229196.64467
 01/21  10:00:00,676746097.4534062,12568775.77643305,0.0,643339728.546942,0.0,20807208.791208785,501279847.7134766,497306273.120039
 01/21  11:00:00,675616285.2444602,12568775.77643305,0.0,634118224.0303038,0.0,28898901.098901093,500623605.9280775,496649296.5762432
 01/21  12:00:00,670016066.3421171,12568775.77643305,0.0,633141829.303785,0.0,24275076.923076916,504017071.9287883,496141561.9837493
 01/21  13:00:00,663664887.376944,12568775.77643305,0.0,636038298.69026,0.0,15027428.571428565,499724603.35583127,495751042.3911312
 01/21  14:00:00,659452587.2103367,12568775.77643305,0.0,637605778.743433,0.0,9247648.35164835,499413181.13008094,495440371.2619469
 01/21  15:00:00,656019948.9989613,12568775.77643305,0.0,638796964.7078818,0.0,4623824.175824175,499160078.8940695,495187626.0769422
 01/21  16:00:00,672693838.4123929,12568775.77643305,0.0,636550098.0773573,0.0,5779780.219780219,498944189.30638504,494971779.4656545
 01/21  17:00:00,707179485.8482406,12568775.77643305,0.0,634350189.469249,0.0,6935736.263736261,494847836.56773525,494775836.56773525
 01/21  18:00:00,666232924.5337442,10055020.62114644,0.0,602853119.5737755,0.0,0.0,6767048.161485213,2795417.627745502
 01/21  19:00:00,579524884.218551,8379183.850955367,0.0,517820916.02877337,0.0,0.0,9512532.88107067,5541395.897249744
 01/21  20:00:00,737133567.6057062,10473979.813694209,0.0,673334803.4531896,0.0,0.0,13250961.766280154,13178961.766280154
