City,Region,Country,Source,Code,Latitude,Longitude,Time_Zone,Elevation,URL
ADDIS_ABABA/BOLE,-,ETH,SWERA,634500,8.98,38.80,3.0,2355.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Addis.Ababa-Bole.634500_SWERA/ETH_Addis.Ababa-Bole.634500_SWERA.epw
AWASSA_(LAKE),-,ETH,SWERA,634600,7.07,38.05,3.0,1652.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Awassa.634600_SWERA/ETH_Awassa.634600_SWERA.epw
BAHAR_DAR,-,ETH,SWERA,633320,11.60,37.40,3.0,1820.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Bahar.Dar.633320_SWERA/ETH_Bahar.Dar.633320_SWERA.epw
COMBOLCHA/DESSIE,-,ETH,SWERA,633330,11.08,39.72,3.0,1864.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Combolcha.633330_SWERA/ETH_Combolcha.633330_SWERA.epw
DEBRE_MARCOS,-,ETH,SWERA,633340,10.35,37.72,3.0,2476.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Debre.Marcos.633340_SWERA/ETH_Debre.Marcos.633340_SWERA.epw
DIRE_DAWA_(MIL/CIV),-,ETH,SWERA,634710,9.60,41.87,3.0,1146.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Dire.Dawa.634710_SWERA/ETH_Dire.Dawa.634710_SWERA.epw
GONDAR,-,ETH,SWERA,633310,12.53,37.43,3.0,1985.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Gondar.633310_SWERA/ETH_Gondar.633310_SWERA.epw
JIMMA,-,ETH,SWERA,634020,7.67,36.83,3.0,1676.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Jimma.634020_SWERA/ETH_Jimma.634020_SWERA.epw
METEHARA,-,ETH,SWERA,634530,8.83,39.78,3.0,1062.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Metehara.634530_SWERA/ETH_Metehara.634530_SWERA.epw
ADDIS_ABABA/BOLE,-,ETH,SWERA,634500,8.98,38.80,3.0,2355.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Addis.Ababa-Bole.634500_SWERA/ETH_Addis.Ababa-Bole.634500_SWERA.epw
